id,company,company_type,title,required_skills,preferred_skills,description,job_type,employment_type,deadline,first_saved_date,url
1,테크스타트업A,startup,데이터 분석가,"Python, SQL, 통계","R, Tableau, 시각화","사용자 행동 데이터를 분석해 비즈니스 인사이트를 도출합니다. A/B 테스트 설계 및 결과 해석 업무를 담당합니다.",데이터 분석,정규직,2026-08-31,2026-07-01,
2,금융서비스B,corporate,데이터 엔지니어,"Python, Spark, SQL","Kafka, Airflow, AWS","대용량 금융 거래 데이터 파이프라인을 설계하고 운영합니다. ETL 프로세스 개발 및 데이터 품질 관리를 담당합니다.",데이터 엔지니어링,정규직,2026-09-15,2026-07-01,
3,AI솔루션C,startup,머신러닝 엔지니어,"python, PyTorch, 딥러닝","TensorFlow, CUDA, MLOps","AI 모델 개발 및 서비스 배포를 담당합니다. 자연어 처리 및 컴퓨터 비전 프로젝트에 참여합니다.",AI/ML,정규직,2026-08-20,2026-07-01,
4,핀테크D,startup,백엔드 개발자,,"Docker, Kubernetes, MSA","금융 서비스 REST API 서버를 개발합니다. 확장 가능한 백엔드 아키텍처를 설계하고 운영합니다.",백엔드 개발,정규직,2026-09-30,2026-07-01,
5,커머스E,startup,데이터 분석가,"SQL, Python, 엑셀","Looker, 통계분석, A/B테스트","이커머스 판매 및 고객 행동 데이터를 분석해 마케팅 전략 수립을 지원합니다.",데이터 분석,정규직,2026-08-31,2026-07-01,
6,헬스케어F,startup,AI 연구원,"Python, 머신러닝, 논문 작성","NLP, 컴퓨터 비전, PyTorch","의료 데이터 기반 AI 모델을 연구·개발합니다. 논문 작성 및 학회 발표 경험자를 우대합니다.",AI/ML,정규직,2026-09-01,2026-07-01,
7,컨설팅G,corporate,경영전략 컨설턴트,"Excel, PowerPoint, 데이터분석","MBA, SQL, Tableau","기업 전략 수립 및 운영 효율화 프로젝트를 수행합니다. 데이터 기반 의사결정을 지원합니다.",경영전략,정규직,2026-10-15,2026-07-01,
8,물류H,startup,공급망 분석가,"sql, Python, 물류 도메인","ERP, SCM, R","물류 네트워크 최적화 및 수요 예측 모델을 개발합니다. 물류·유통 도메인 이해 필수입니다.",데이터 분석,정규직,2026-08-15,2026-07-01,
9,광고테크I,startup,디지털 마케터,,"Google Analytics, Meta Ads, SEO","디지털 광고 성과를 분석하고 ROI 최적화 전략을 수립합니다. 데이터 기반 캠페인 운영 경험자 우대.",마케팅,정규직,2026-09-20,2026-07-01,
10,바이오J,startup,생물정보학 연구원,"R, Python, 바이오인포데이터틱스","BLAST, NGS, 리눅스","유전체 데이터 분석 파이프라인을 개발합니다. 생물정보학 관련 석사 이상 우대합니다.",연구개발,2026-08-31,2026-07-01,
11,스타트업K,startup,프론트엔드 개발자,"JavaScript, React, HTML/CSS","TypeScript, Next.js, Figma","사용자 경험 중심의 프론트엔드 서비스를 개발합니다. 디자인 협업 경험 우대.",프론트엔드 개발,26.09.10,2026-07-01,
12,금융L,corporate,리스크 분석가,"PYTHON, 통계, 금융공학","VBA, Bloomberg, SQL","금융 리스크 모델을 개발하고 규제 보고서를 작성합니다. CFA 또는 FRM 자격증 우대.",금융분석,정규직,,2026-07-01,
13,공기업M,public,데이터 사이언티스트,"Python, sql, Machine Learning","딥러닝, 시각화, NLP","공공 서비스 개선을 위한 데이터 분석 및 AI 모델을 개발합니다. 공공 데이터 활용 경험 우대.",데이터 분석,정규직,2026-10-31,2026-07-01,
14,게임N,corporate,게임 데이터 분석가,"SQL, Python, 게임 도메인","R, 행동분석, A/B테스트","게임 유저 행동 데이터를 분석하고 게임 밸런싱 및 수익화 전략을 지원합니다.",데이터 분석,정규직,2026-09-30,2026-07-01,
15,AI솔루션C,startup,머신러닝 엔지니어,"Python, PyTorch, 딥러닝","TensorFlow, CUDA, MLOps","AI 모델 개발 및 서비스 배포를 담당합니다. 자연어 처리 및 컴퓨터 비전 프로젝트에 참여합니다.",AI/ML,정규직,2026-08-20,2026-07-01,
16,네이버(NAVER),대기업,네이버플레이스 프로덕트 데이터 분석가,"SQL, Python, 가설 검정 및 통계적 분석 능력","A/B 테스트 설계 및 사후 분석 경험, Tableau/Superset 등 대시보드 구축 경험, 유저 행동 데이터(Log) 분석 경험","네이버 플레이스 서비스의 유저 구매 여정 및 행동 패턴을 분석하여 전환율을 최적화하고, 주요 비즈니스 지표를 모니터링하여 프로덕트 개선 인사이트를 도출합니다.",데이터 분석,정규직,2026-08-31,2026-07-03,https://recruit.navercorp.com
17,카카오게임즈(Kakao Games),대기업,게임 라이브 로그 데이터 분석가,"SQL, Python, 데이터 시각화(Matplotlib, Seaborn), 데이터 전처리 역량","게임 도메인 및 비즈니스에 대한 높은 이해도, 대용량 로그 데이터 처리(Spark, Hive) 경험, 머신러닝 기초 모델링 역량","라이브 게임 내 유저들의 행동 로그를 추출 및 분석하여 밸런스 조정, 컨텐츠 소비 속도 예측, 이탈 방지 전략을 수립하고 데이터 기반의 비즈니스 의사결정을 지원합니다.",데이터 분석,정규직,2026-09-15,2026-07-03,https://careers.kakao.com
18,비바리퍼블리카(Toss),벤처기업(중소기업),토스페이먼츠 결제 데이터 분석가,"SQL, Python 또는 R, 통계적 모델링(회귀분석 등), 데이터 리포팅 역량","금융/결제 도메인 지식, GA4 등 웹/앱 애널리틱스 활용 역량, 대규모 데이터 파이프라인 이해","토스페이먼츠 결제 서비스의 유저 행동 로그 및 거래 데이터를 분석하여 고객 세그먼트를 분류하고, 마케팅 캠페인의 성과 측정 및 결제 전환율 최적화 방안을 제안합니다.",데이터 분석,정규직,2026-08-15,2026-07-03,https://toss.im/career
19,카카오페이(Kakao Pay),대기업,이상거래탐지(FDS) 데이터 분석가,"SQL, Python(Scikit-learn), 통계학 기반 이상치 탐지 및 패턴 분석 역량","금융 보안/결제 시스템 운영 경험, 대용량 트랜잭션 데이터 처리 경험, Rule-based 탐지 시스템 고도화 경험","실시간 금융 결제 트랜잭션 데이터를 모니터링하여 부정 결제 및 이상 패턴을 식별하고, FDS 모델의 성능을 고도화하여 오탐을 최소화하고 결제 신뢰도를 높입니다.",데이터 분석,정규직,2026-09-30,2026-07-03,https://careers.kakaopay.com
20,당근(Daangn),중소기업,지리공간(GIS) 기반 로컬 데이터 분석가,"SQL, Python(Geopandas, Shapely), 공간 통계 및 군집 분석 역량","위치 데이터(GPS) 및 이동 로그 분석 경험, 시각화 도구(Kepler.gl, Leaflet) 활용 역량","당근 앱 내 중고거래 및 지역 서비스의 위치·이동 로그를 분석하여 로컬 수요 밀집 지역을 예측하고, 매칭 효율 극대화를 위한 지역 공간 인사이트를 제공합니다.",데이터 분석,정규직,2026-10-15,2026-07-03,https://team.daangn.com
21,네이버파이낸셜,대기업,광고 및 마케팅 성과 최적화 데이터 분석가,"SQL, 데이터 모델링 역량, Python(Pandas, SciPy), 대시보드 설계(Looker Studio 등)","디지털 광고 성과 지표(ROAS, CPC, CTR) 분석 경험, 금융 상품 마케팅 경험, 베이지안 통계 지식","핀테크 서비스 내 광고 매체 및 금융 상품 캠페인 성과 데이터를 통합 분석합니다. 광고 효율을 극대화할 수 있는 타겟팅 전략을 수립하고 데이터 파이프라인을 구축합니다.",데이터 분석,정규직,2026-09-20,2026-07-03,https://recruit.navercorp.com